Node,Type,,Nodes are either things that happen or actions we take that affect other teams (focused now on revenue and customer impacts),,,,,,,,,,,,
Booster updates (Intercom),Support,,Departments are the teams taking the actions ,,,,,,,,,,,,
Bug Fix Released,Engineering,,,,,,,,,,,,,,
CSM assigned,Customer Success,,,,,,,,,,,,,,
CSM Regular Live Customer Engagement ,Customer Success,,,,,,,,,,,,,,
Customer 101 page created,Support,,,,,,,,,,,,,,
Customer added to Intercom,Support,,,,,,,,,,,,,,
Customer added to PowerBI for KPIs (PowerBI),Product,,,,,,,,,,,,,,
Customer feedback shared with team (Aha),Customer Success,,,,,,,,,,,,,,
Customer shares product feedback ,Customer Success,,,,,,,,,,,,,,
CX KPI Dashboard Ready,CX Operations,,,,,,,,,,,,,,
Decommission domain(s),CX Operations,,Marketing,Sales,Account Management,Implementation,Customer Success,Support,CX Operations,Product,Engineering,Design,QA,Central Ops,
Domain creation (CX App) ,CX Operations,,Newsletter Updates (Hubspot),Pricing & Packaging Defined (Confluence),Renewal Closed Won,Implementation Kick-off with customer,CSM assigned,Customer 101 page created,Indeavor Learning Hub Updated (Workramp),Product Functionality Documentation Update (Confluence),Enivronment placement request for new customer,,Regression Testing Script Created (QASE),SOC2 data purging proof,
Enhancement to Existing Feature,Engineering,,Website Updates (Website),New Customer - Closed Won,Renewal Lost,PLS project need identified (Jira),PLS project need identified (Jira),Customer added to Intercom,ILH enrollments & auto report created (Workramp),Release Notes (Jira),New Feature Release,,,,
Enivronment placement request for new customer,Engineering,,,Network Upsell Add On - Closed Won,,Implementation Preparing for GL ,Customer shares product feedback ,KBAs Updated (Intercom),Domain creation (CX App) ,Release Notes (Confluence),Enhancement to Existing Feature,,,,
Event Attended,Marketing,,,Expansion - Closed Won,,Implementation Project created & resourced (Wrike),Transition to customer success meeting?,KPIs Updated (Box),Update domain subscription limit (CX App),Release Notes (Intercom),Bug Fix Released,,,,
Expansion - Closed Lost,Sales,,,New Customer - Closed Lost,,Implementation Collateral Updated (Box),Subscription increase request/need,Booster updates (Intercom),PQ Release ILH Course (Workramp),Release Announcement (Intercom),Hot Fix Released,,,,
Expansion - Closed Won,Sales,,,Network Upsell Add On - Closed Lost,,Scribe SOPs (Scribe),PLS Project created & resourced (Wrike),Update Athena AI Model,KPIs Updated (Box),Feature Demo Videos - Internal (Confluence),Tech owned SBX refreshes (CX App),,,,
Feature Demo Videos - External (Confluence),Product,,,Expansion - Closed Lost,,KPIs Updated (Box),KPIs Updated (Box),Items for lost renewal,ITD refreshed (CX App) ,Feature Demo Videos - External (Confluence),,,,,
Feature Demo Videos - Internal (Confluence),Product,,,Network Upsell Booster - Closed Won,,ITD refresh need identified,Site Level Upsell Add On - Closed Won,,Quarterly SBX refreshes (Jira/CX App),Indeavor Talks,,,,,
Hot Fix Released,Engineering,,,Network Upsell Booster - Closed Lost,,Implementation Go Live,Site Level Upsell Add On - Closed Lost,,ILH access update for Platinum (Workramp),Internal Training Session - Revenue,,,,,
